id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackName,Artist,maxStreams,avgStreams,accumulated_streams,top1,timesTop10,timesTop25,timesTop50,timesTop100,timesTop200,weeksTop10,weeksTop25,weeksTop50,weeksTop100,weeksTop200
10Igtw8bSDyyFs7KIsKngZ,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,216632,4,Freaky Friday (feat. Chris Brown),Lil Dicky,23545449,11277601.42,293217637,False,2,7,4,5,8,"2018-04-06,2018-04-13","2018-03-23,2018-03-30,2018-04-20,2018-05-11,2018-05-18,2018-05-04,2018-04-27","2018-06-08,2018-05-25,2018-06-01,2018-03-16","2018-06-15,2018-06-29,2018-07-13,2018-06-22,2018-07-06","2018-08-24,2018-08-03,2018-07-27,2018-08-17,2018-07-20,2018-09-07,2018-08-10,2018-08-31"
5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,210773,4,These Days,Rudimental,19683315,9885946.14,484411361,False,1,13,7,10,18,2018-03-09,"2018-03-23,2018-03-30,2018-04-20,2018-02-09,2018-05-11,2018-05-18,2018-02-23,2018-05-04,2018-03-16,2018-04-06,2018-02-16,2018-03-02,2018-04-13","2018-06-08,2018-06-15,2018-05-25,2018-06-01,2018-02-02,2018-06-22,2018-04-27","2018-08-24,2018-08-03,2018-06-29,2018-01-26,2018-07-13,2018-07-27,2018-08-17,2018-07-06,2018-07-20,2018-08-10","2019-01-04,2018-12-28,2018-11-02,2018-09-14,2018-09-21,2018-11-16,2018-12-07,2018-10-26,2019-01-11,2018-01-19,2019-01-18,2018-10-12,2018-09-07,2018-08-31,2018-09-28,2018-10-19,2018-11-09,2018-10-05"
2U7Hu2RaNQNRi7izoJyZaX,0.578,0.532,5,-6.636,0,0.066,0.117,8.97e-05,0.143,0.12,159.784,218320,4,rockstar,Post Malone,21291755,17389454.5,173894545,False,3,6,1,0,0,"2018-02-23,2018-02-16,2018-03-02","2018-03-23,2018-03-30,2018-03-16,2018-04-06,2018-03-09,2018-04-13",2018-04-20,,
2j2fIJGh4PMdXt9ULI5Tlc,0.786,0.846,1,-3.468,1,0.0505,0.174,0.0,0.413,0.819,95.005,200480,4,Dura,Daddy Yankee,18341763,12129631.26,278981519,False,2,9,4,5,3,"2018-02-09,2018-02-16","2018-03-23,2018-03-30,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-03-02,2018-02-02,2018-04-13","2018-04-20,2018-05-11,2018-05-04,2018-04-27","2018-06-08,2018-05-25,2018-01-26,2018-05-18,2018-06-01","2018-06-15,2018-01-19,2018-06-22"
1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,Havana (feat. Young Thug),Camila Cabello,30948101,8421432.89,766350393,True,6,7,10,21,47,"2018-02-09,2018-01-26,2018-01-19,2018-02-16,2018-02-02,2018-01-12","2018-03-23,2018-03-30,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-03-02","2018-06-08,2018-06-15,2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-13,2018-04-27","2019-01-04,2018-12-28,2018-08-24,2018-08-03,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-07-27,2018-10-26,2018-06-22,2018-08-17,2018-07-06,2018-10-12,2018-07-20,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-10-05","2019-05-03,2018-12-14,2019-06-14,2019-07-19,2019-09-20,2019-05-31,2019-05-10,2019-08-09,2019-02-08,2018-11-02,2019-05-17,2019-03-15,2019-07-26,2019-04-26,2019-03-01,2018-11-30,2019-03-22,2018-11-23,2019-06-21,2018-11-16,2018-12-07,2019-04-05,2019-01-25,2019-04-12,2019-09-13,2019-02-15,2019-12-27,2019-09-06,2019-10-11,2019-07-12,2019-01-11,2019-02-01,2019-06-28,2019-05-24,2019-01-18,2019-02-22,2019-07-05,2019-08-23,2019-03-29,2019-08-16,2019-08-02,2019-06-07,2019-04-19,2018-12-21,2018-11-09,2019-08-30,2019-03-08"
0JP9xo3adEtGSdUEISiszL,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,Moonlight,XXXTENTACION,27497557,9187644.3,854450920,False,2,14,22,16,39,"2018-06-15,2018-06-22","2018-03-23,2018-06-29,2018-07-13,2018-07-27,2018-03-16,2018-10-26,2018-08-17,2018-07-06,2018-10-12,2018-07-20,2018-08-10,2018-09-28,2018-10-19,2018-10-05","2018-03-30,2018-12-14,2019-01-04,2018-12-28,2018-08-24,2018-08-03,2018-11-02,2018-09-14,2018-09-21,2018-11-30,2018-11-23,2018-11-16,2018-12-07,2019-01-25,2019-01-11,2018-04-06,2019-02-01,2019-01-18,2018-04-13,2018-09-07,2018-08-31,2018-11-09","2018-04-20,2019-02-08,2018-05-11,2019-03-15,2019-04-26,2019-03-01,2019-03-22,2018-05-04,2019-04-05,2019-02-15,2019-02-22,2019-03-29,2018-04-27,2019-04-19,2018-12-21,2019-03-08","2019-10-18,2018-06-08,2019-05-03,2019-06-14,2019-07-19,2019-09-20,2019-05-31,2019-05-10,2019-08-09,2018-05-25,2019-10-25,2019-05-17,2019-11-01,2019-07-26,2019-10-04,2018-05-18,2019-12-06,2019-06-21,2018-06-01,2019-04-12,2019-09-13,2019-12-27,2019-09-06,2019-10-11,2019-12-13,2019-07-12,2019-06-28,2019-05-24,2019-07-05,2019-08-23,2019-11-08,2019-11-22,2019-08-16,2019-08-02,2019-06-07,2019-08-30,2019-11-29,2019-11-15,2019-09-27"
7iDa6hUg2VgEL1o1HjmfBn,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,163870,4,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,14838238,10994822.65,439792906,False,0,14,17,8,1,,"2018-03-23,2018-03-30,2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02,2018-01-12,2018-04-13","2018-06-08,2018-04-20,2018-05-25,2018-05-11,2017-11-10,2018-05-18,2018-05-04,2018-06-01,2017-11-17,2017-12-29,2017-12-01,2017-12-22,2018-01-05,2017-12-08,2018-04-27,2017-11-24,2017-12-15","2018-06-15,2017-10-13,2017-10-27,2017-10-20,2017-11-03,2017-09-29,2017-09-22,2017-10-06",2017-09-15
4eWQlBRaTjPPUlzacqEeoQ,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,4,Never Be the Same,Camila Cabello,22147865,9436098.3,311391244,False,4,7,3,7,12,"2018-01-26,2018-01-19,2018-02-02,2018-01-12","2018-03-23,2018-02-09,2018-02-23,2018-03-16,2018-03-09,2018-02-16,2018-03-02","2018-03-30,2018-04-06,2018-04-13","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-27","2018-06-08,2018-06-15,2018-08-24,2018-08-03,2018-06-29,2018-07-13,2018-07-27,2018-06-22,2018-08-17,2018-07-06,2018-07-20,2018-08-10"
4ofvoCdXq99vpMZO4Cfp8x,0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,211440,4,Pray For Me (with Kendrick Lamar),The Weeknd,22614831,12072632.26,229380013,False,5,3,2,2,7,"2018-02-09,2018-02-23,2018-02-16,2018-03-02,2018-02-02","2018-03-23,2018-03-16,2018-03-09","2018-03-30,2018-04-06","2018-04-20,2018-04-13","2018-06-08,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-27"
6jA8JUuPCGYjFcgw0AoM5T,0.777,0.779,0,-4.449,0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653,4,Me Niego (feat. Ozuna & Wisin),Reik,13488299,9116940.59,337326802,False,0,4,17,8,8,,"2018-03-23,2018-03-16,2018-04-06,2018-04-13","2018-03-30,2018-06-08,2018-06-15,2018-04-20,2018-05-25,2018-05-11,2018-07-13,2018-05-18,2018-05-04,2018-06-01,2018-07-27,2018-03-09,2018-03-02,2018-06-22,2018-07-06,2018-04-27,2018-07-20","2018-08-24,2018-08-03,2018-06-29,2018-02-23,2018-08-17,2018-09-07,2018-08-10,2018-08-31","2018-09-14,2018-09-21,2018-10-26,2018-02-16,2018-10-12,2018-09-28,2018-10-19,2018-10-05"
7wvYmO5QscgIDDT0eNwbYX,0.726,0.708,7,-6.908,0,0.356,0.303,0.0,0.348,0.417,105.084,200133,4,Lost In Japan,Shawn Mendes,13124790,8222441.0,41112205,False,0,1,1,2,1,,2018-03-23,2018-03-30,"2018-04-06,2018-04-13",2018-04-20
6RnkFd8Fqqgk1Uni8RgqCQ,0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,202500,4,Like I Do,David Guetta,13691658,8271448.39,190243313,False,0,1,10,6,6,,2018-03-23,"2018-03-30,2018-04-20,2018-05-11,2018-05-18,2018-05-04,2018-03-16,2018-04-06,2018-03-09,2018-04-13,2018-04-27","2018-06-08,2018-06-15,2018-05-25,2018-02-23,2018-06-01,2018-03-02","2018-06-29,2018-07-13,2018-07-27,2018-06-22,2018-07-06,2018-07-20"
0gD6lWJhbXHWNVwQziSVvl,0.882,0.503,11,-6.618,1,0.179,0.224,0.0,0.108,0.176,95.011,175511,4,Plug Walk,Rich The Kid,12140072,8685920.75,34743683,False,0,1,1,1,1,,2018-03-23,2018-03-16,2018-03-09,2018-03-02
1zsG4eaZmkA1dvjDDsAGLK,0.724,0.895,7,-3.617,1,0.0411,0.0322,0.0,0.097,0.64,96.022,173720,4,Échame La Culpa,Luis Fonsi,19056515,13067427.81,418157690,False,8,10,4,8,2,"2018-01-26,2017-12-29,2018-01-19,2018-02-02,2017-12-22,2018-01-12,2018-01-05,2017-11-24","2018-02-09,2018-02-23,2017-11-17,2018-03-16,2018-03-09,2018-02-16,2018-03-02,2017-12-01,2017-12-08,2017-12-15","2018-03-23,2018-03-30,2018-04-06,2018-04-13","2018-06-08,2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-27","2018-06-15,2018-06-22"
2ekn2ttSfGqwhhate0LSR0,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,New Rules,Dua Lipa,26215788,14383598.58,963701105,False,23,11,6,25,2,"2017-08-18,2017-10-13,2017-11-10,2017-10-27,2017-11-17,2017-12-29,2017-08-11,2017-09-01,2017-08-25,2017-10-20,2017-12-01,2017-12-22,2018-01-12,2018-01-05,2017-12-08,2017-09-08,2017-11-03,2017-09-29,2017-09-22,2017-11-24,2017-12-15,2017-10-06,2017-09-15","2017-07-28,2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02,2017-08-04","2018-03-23,2018-03-30,2018-05-25,2017-07-21,2018-04-06,2018-04-13","2018-06-08,2018-06-15,2018-04-20,2018-08-24,2018-08-03,2018-05-11,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-05-18,2018-05-04,2018-06-01,2018-07-27,2018-06-22,2018-08-17,2018-07-06,2018-10-12,2017-07-14,2018-04-27,2018-07-20,2018-09-07,2018-08-10,2018-08-31,2018-10-05","2017-07-07,2018-09-28"
3xcCix7Jv1Rp90YVmgo35D,0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,4,Bella,Wolfine,11888754,8320693.07,116489703,False,0,0,6,4,4,,,"2018-03-23,2018-03-30,2018-03-16,2018-04-06,2018-03-09,2018-04-13","2018-04-20,2018-05-11,2018-05-04,2018-04-27","2018-06-08,2018-05-25,2018-05-18,2018-06-01"
3ITvHA9zhZZdBJsOsAUegF,0.742,0.432,9,-7.539,0,0.0615,0.984,5.78e-05,0.0796,0.252,148.005,155676,3,Amorfoda,Bad Bunny,20012260,9447939.29,160614968,False,1,4,3,3,6,2018-02-23,"2018-03-16,2018-03-09,2018-02-16,2018-03-02","2018-03-23,2018-03-30,2018-04-06","2018-04-20,2018-04-13,2018-04-27","2018-06-08,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01"
2UVbBKQOdFAekPTRsnkzcf,0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,190288,4,Stir Fry,Migos,15232093,9653753.15,193075063,False,0,8,1,4,7,,"2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-03-09,2018-02-16,2018-03-02,2018-02-02",2018-03-23,"2018-03-30,2018-04-20,2018-04-06,2018-04-13","2018-06-08,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-27"
6yr8GiTHWvFfi4o6Q5ebdT,0.551,0.851,1,-3.277,1,0.197,0.0748,0.0,0.0784,0.1,171.411,297893,4,'Till I Collapse,Eminem,3965342,3594041.22,64692742,False,0,0,0,0,18,,,,,"2018-02-09,2017-08-18,2017-10-13,2018-01-26,2017-11-10,2018-02-23,2017-10-27,2017-11-17,2017-08-11,2017-09-01,2018-01-19,2018-02-16,2017-10-20,2018-02-02,2017-09-08,2017-09-29,2017-11-24,2017-10-06"
4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,4,'Till I Collapse,Eminem,4582126,4582126.0,4582126,False,0,0,0,0,1,,,,,2018-08-31
