Position,Track Name,Artist,Streams,ID,startingDate
1,Starboy,The Weeknd,25734078,5aAx2yezTd8zXrkmtKl66Z,2016-12-30
2,Closer (feat. Halsey),The Chainsmokers,23519705,7BKLCZ1jbUBVqRi2FVlTVw,2016-12-30
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21216399,5knuzwU65gJK7IF5yJsuaW,2016-12-30
4,Let Me Love You,DJ Snake,19852704,4pdPtRcBmOSQDlJ3Fk945m,2016-12-30
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18316326,3NdDpSvN911VPGivFlV5d0,2016-12-30
6,Don't Wanna Know,Maroon 5,18064374,5MFzQMkrl1FOOng9tq6R9r,2016-12-30
7,Fake Love,Drake,17037036,343YBumqHu19cGoGARUTsd,2016-12-30
8,Say You Won't Let Go,James Arthur,16950854,5uCax9HTNlzGybIStD3vDh,2016-12-30
9,24K Magic,Bruno Mars,16736035,6b8Be6ljOzmkOmFslEb23P,2016-12-30
10,I Feel It Coming,The Weeknd,16609685,5GXAXm5YOmYT0kL5jHvYBt,2016-12-30
11,Black Beatles,Rae Sremmurd,16130702,6fujklziTHa8uoM5OQSfIo,2016-12-30
12,One Dance,Drake,15958402,1xznGGDReH1oQq0xzbwXa3,2016-12-30
13,Chantaje (feat. Maluma),Shakira,14458068,6mICuAdrwEjh6Y6lroV2Kg,2016-12-30
14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,14278458,6DNtNfH8hXkqOX1sjqmI7p,2016-12-30
15,Call On Me - Ryan Riback Extended Remix,Starley,14030444,78rIJddV4X0HkNAInEcYde,2016-12-30
16,In the Name of Love,Martin Garrix,13936848,04DwTuZ2VBdJCCC5TROn7L,2016-12-30
17,Bad and Boujee (feat. Lil Uzi Vert),Migos,13030993,4Km5HrUvYTaSUfiSGPJeQR,2016-12-30
18,Side To Side,Ariana Grande,12802756,4pLwZjInHj3SimIyN9SnOz,2016-12-30
19,Just Hold On,Steve Aoki,12713391,3EmmCZoqpWOTY1g2GBwJoR,2016-12-30
20,Starving,Hailee Steinfeld,11678776,1qOLh0tI7trd1zdDKxYZTe,2016-12-30
21,Bad Things (with Camila Cabello),Machine Gun Kelly,11496707,1PSBzsahR2AKwLJgx8ehBj,2016-12-30
22,Mercy,Shawn Mendes,11257008,4TZy1wLyHec06pwgFYDh1a,2016-12-30
23,My Way,Calvin Harris,11099145,1vvNmPOiUuyCbgWmtc6yfm,2016-12-30
24,All We Know,The Chainsmokers,11002831,2rizacJSyD9S1IQUxUxnsK,2016-12-30
25,Don't Let Me Down,The Chainsmokers,10662121,0QsvXIfqM0zZoerQfsI9lm,2016-12-30
26,Treat You Better,Shawn Mendes,10655487,4Hf7WnR761jpxPr5D46Bcd,2016-12-30
27,Heathens,Twenty One Pilots,10591337,6i0V12jOa3mr6uu4WYhUBr,2016-12-30
28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,10147451,6JV2JOEocMgcZxYSZelKcc,2016-12-30
29,Scars To Your Beautiful,Alessia Cara,9456847,0prNGof3XqfTvNDxHonvdK,2016-12-30
30,All Night,The Vamps,9219626,1yNyoWWWikbLhwIGWjZuDW,2016-12-30
31,Cheap Thrills,Sia,9085236,27SdWb2rFzO6GWiYDBTD9j,2016-12-30
32,Now and Later,Sage The Gemini,8963739,43jBqV3j3Xi1g6wO0bhIMd,2016-12-30
33,Love Me Now,John Legend,8876988,6nxQdXa1uAL0rY72wPZu89,2016-12-30
34,By Your Side,Jonas Blue,8796175,1D3ODoXHBLpdxolZRHWV1j,2016-12-30
35,Reggaetón Lento (Bailemos),CNCO,8739078,3AEZUABDXNtecAOSC1qTfo,2016-12-30
36,Alone,Alan Walker,8667916,0JiVRyTJcJnmlwCZ854K4p,2016-12-30
37,The Mack,Nevada,8616666,7aV2mflaASUmGhCErm7kBO,2016-12-30
38,I Would Like,Zara Larsson,8595924,4Q4jmPHwu0wrJvqrld0FQ6,2016-12-30
39,Shed a Light,Robin Schulz,8509565,1cG0umU5TKStygKsPFZ9pY,2016-12-30
40,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,8454914,17Fd6Yb7mSbinKG8LoWfFl,2016-12-30
41,We Don't Talk Anymore,Charlie Puth,8303152,68EMU2RD1ECNeOeJ5qAXCV,2016-12-30
42,Hear Me Now,Alok,8207067,1a5Yu5L18qNxVhXx38njON,2016-12-30
43,Safari,J Balvin,7845521,6rQSrBHf7HlZjtcMZ4S4bO,2016-12-30
44,Broccoli (feat. Lil Yachty),DRAM,7780722,7yyRTcZmCiyzzJlNzGC9Ol,2016-12-30
45,This Is What You Came For,Calvin Harris,7637496,0azC730Exh71aQlOt9Zj3y,2016-12-30
46,"How Far I'll Go - From ""Moana""",Alessia Cara,7503448,5hYTyyh2odQKphUbMqc5gN,2016-12-30
47,Caroline,Aminé,7431437,5GFDrUTLGJix84sNhjCG0g,2016-12-30
48,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7241437,4tCtwWceOPWzenK2HAIJSb,2016-12-30
49,Vente Pa' Ca,Ricky Martin,7074781,7DM4BPaS7uofFul3ywMe46,2016-12-30
50,Otra vez (feat. J Balvin),Zion & Lennox,6786526,3QwBODjSEzelZyVjxPOHdq,2016-12-30
