Position,Track Name,Artist,Streams,ID,startingDate
1,Starboy,The Weeknd,25286465,5aAx2yezTd8zXrkmtKl66Z,2016-12-23
2,Closer (feat. Halsey),The Chainsmokers,22047697,7BKLCZ1jbUBVqRi2FVlTVw,2016-12-23
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,19794482,5knuzwU65gJK7IF5yJsuaW,2016-12-23
4,Let Me Love You,DJ Snake,17965723,4pdPtRcBmOSQDlJ3Fk945m,2016-12-23
5,Don't Wanna Know,Maroon 5,16966668,5MFzQMkrl1FOOng9tq6R9r,2016-12-23
6,Black Beatles,Rae Sremmurd,16831609,6fujklziTHa8uoM5OQSfIo,2016-12-23
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16797090,3NdDpSvN911VPGivFlV5d0,2016-12-23
8,Fake Love,Drake,16629189,343YBumqHu19cGoGARUTsd,2016-12-23
9,24K Magic,Bruno Mars,16023066,6b8Be6ljOzmkOmFslEb23P,2016-12-23
10,Say You Won't Let Go,James Arthur,15571413,5uCax9HTNlzGybIStD3vDh,2016-12-23
11,All I Want for Christmas Is You,Mariah Carey,15094760,0bYg9bo50gSsH3LtXe2SQn,2016-12-23
12,I Feel It Coming,The Weeknd,14845976,5GXAXm5YOmYT0kL5jHvYBt,2016-12-23
13,One Dance,Drake,13620191,1xznGGDReH1oQq0xzbwXa3,2016-12-23
14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,13143341,6DNtNfH8hXkqOX1sjqmI7p,2016-12-23
15,The Greatest,Sia,13074479,6bLopGnirdrilrpdVB6Um1,2016-12-23
16,In the Name of Love,Martin Garrix,12854288,04DwTuZ2VBdJCCC5TROn7L,2016-12-23
17,Call On Me - Ryan Riback Extended Remix,Starley,12309223,78rIJddV4X0HkNAInEcYde,2016-12-23
18,Chantaje (feat. Maluma),Shakira,12104974,6mICuAdrwEjh6Y6lroV2Kg,2016-12-23
19,Side To Side,Ariana Grande,11964458,4pLwZjInHj3SimIyN9SnOz,2016-12-23
20,Just Hold On,Steve Aoki,11735194,3EmmCZoqpWOTY1g2GBwJoR,2016-12-23
21,Last Christmas,Wham!,11724752,2FRnf9qhLbvw8fu4IBXx78,2016-12-23
22,Starving,Hailee Steinfeld,10932500,1qOLh0tI7trd1zdDKxYZTe,2016-12-23
23,Bad and Boujee (feat. Lil Uzi Vert),Migos,10635390,4Km5HrUvYTaSUfiSGPJeQR,2016-12-23
24,Bad Things (with Camila Cabello),Machine Gun Kelly,10620238,1PSBzsahR2AKwLJgx8ehBj,2016-12-23
25,Mercy,Shawn Mendes,10507024,4TZy1wLyHec06pwgFYDh1a,2016-12-23
26,My Way,Calvin Harris,10330481,1vvNmPOiUuyCbgWmtc6yfm,2016-12-23
27,Heathens,Twenty One Pilots,10169963,6i0V12jOa3mr6uu4WYhUBr,2016-12-23
28,All We Know,The Chainsmokers,10163696,2rizacJSyD9S1IQUxUxnsK,2016-12-23
29,Don't Let Me Down,The Chainsmokers,9267559,0QsvXIfqM0zZoerQfsI9lm,2016-12-23
30,Treat You Better,Shawn Mendes,9168864,4Hf7WnR761jpxPr5D46Bcd,2016-12-23
31,Scars To Your Beautiful,Alessia Cara,8583889,0prNGof3XqfTvNDxHonvdK,2016-12-23
32,Reggaetón Lento (Bailemos),CNCO,8223181,3AEZUABDXNtecAOSC1qTfo,2016-12-23
33,Love Me Now,John Legend,8203210,6nxQdXa1uAL0rY72wPZu89,2016-12-23
34,All Night,The Vamps,7749405,4b4KcovePX8Ke2cLIQTLM0,2016-12-23
35,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,7734734,6JV2JOEocMgcZxYSZelKcc,2016-12-23
36,Now and Later,Sage The Gemini,7724332,08WPvDEsHvTFuB9w8tC2OS,2016-12-23
37,The Mack,Nevada,7669735,7aV2mflaASUmGhCErm7kBO,2016-12-23
38,By Your Side,Jonas Blue,7669293,1D3ODoXHBLpdxolZRHWV1j,2016-12-23
39,We Don't Talk Anymore,Charlie Puth,7596658,68EMU2RD1ECNeOeJ5qAXCV,2016-12-23
40,Alone,Alan Walker,7584237,0JiVRyTJcJnmlwCZ854K4p,2016-12-23
41,It's Beginning to Look a Lot like Christmas,Michael Bublé,7493998,0lLdorYw7lVrJydTINhWdI,2016-12-23
42,I Would Like,Zara Larsson,7461568,4Q4jmPHwu0wrJvqrld0FQ6,2016-12-23
43,Party Monster,The Weeknd,7431097,4F7A0DXBrmUAkp32uenhZt,2016-12-23
44,Safari,J Balvin,7286559,6rQSrBHf7HlZjtcMZ4S4bO,2016-12-23
45,It's the Most Wonderful Time of the Year,Andy Williams,7232257,5hslUAKq9I9CG2bAulFkHN,2016-12-23
46,Cheap Thrills,Sia,7218935,27SdWb2rFzO6GWiYDBTD9j,2016-12-23
47,Deja Vu,J. Cole,7217628,6I6NX6tjGsxFAsIfGzY9lJ,2016-12-23
48,Broccoli (feat. Lil Yachty),DRAM,7143405,7yyRTcZmCiyzzJlNzGC9Ol,2016-12-23
49,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,7093486,17Fd6Yb7mSbinKG8LoWfFl,2016-12-23
50,Caroline,Aminé,7091625,5hTpBe8h35rJ67eAWHQsJx,2016-12-23
