,TrackName,Artist,maxStreams,avgStreams,accumulated_streams,top1,timesTop10,timesTop25,timesTop50,timesTop100,timesTop200,weeksTop10,weeksTop25,weeksTop50,weeksTop100,weeksTop200
7wvYmO5QscgIDDT0eNwbYX,Lost In Japan,Shawn Mendes,13124790,8222441.0,41112205,False,0,1,1,2,1,,2018-03-23,2018-03-30,"2018-04-06,2018-04-13",2018-04-20
6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,David Guetta,13691658,8271448.39,190243313,False,0,1,10,6,6,,2018-03-23,"2018-03-30,2018-04-20,2018-05-11,2018-05-18,2018-05-04,2018-03-16,2018-04-06,2018-03-09,2018-04-13,2018-04-27","2018-06-08,2018-06-15,2018-05-25,2018-02-23,2018-06-01,2018-03-02","2018-06-29,2018-07-13,2018-07-27,2018-06-22,2018-07-06,2018-07-20"
0gD6lWJhbXHWNVwQziSVvl,Plug Walk,Rich The Kid,12140072,8685920.75,34743683,False,0,1,1,1,1,,2018-03-23,2018-03-16,2018-03-09,2018-03-02
1zsG4eaZmkA1dvjDDsAGLK,Échame La Culpa,Luis Fonsi,19056515,13067427.81,418157690,False,8,10,4,8,2,"2018-01-26,2017-12-29,2018-01-19,2018-02-02,2017-12-22,2018-01-12,2018-01-05,2017-11-24","2018-02-09,2018-02-23,2017-11-17,2018-03-16,2018-03-09,2018-02-16,2018-03-02,2017-12-01,2017-12-08,2017-12-15","2018-03-23,2018-03-30,2018-04-06,2018-04-13","2018-06-08,2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-27","2018-06-15,2018-06-22"
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,26215788,14383598.58,963701105,False,23,11,6,25,2,"2017-08-18,2017-10-13,2017-11-10,2017-10-27,2017-11-17,2017-12-29,2017-08-11,2017-09-01,2017-08-25,2017-10-20,2017-12-01,2017-12-22,2018-01-12,2018-01-05,2017-12-08,2017-09-08,2017-11-03,2017-09-29,2017-09-22,2017-11-24,2017-12-15,2017-10-06,2017-09-15","2017-07-28,2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02,2017-08-04","2018-03-23,2018-03-30,2018-05-25,2017-07-21,2018-04-06,2018-04-13","2018-06-08,2018-06-15,2018-04-20,2018-08-24,2018-08-03,2018-05-11,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-05-18,2018-05-04,2018-06-01,2018-07-27,2018-06-22,2018-08-17,2018-07-06,2018-10-12,2017-07-14,2018-04-27,2018-07-20,2018-09-07,2018-08-10,2018-08-31,2018-10-05","2017-07-07,2018-09-28"
3xcCix7Jv1Rp90YVmgo35D,Bella,Wolfine,11888754,8320693.07,116489703,False,0,0,6,4,4,,,"2018-03-23,2018-03-30,2018-03-16,2018-04-06,2018-03-09,2018-04-13","2018-04-20,2018-05-11,2018-05-04,2018-04-27","2018-06-08,2018-05-25,2018-05-18,2018-06-01"
3ITvHA9zhZZdBJsOsAUegF,Amorfoda,Bad Bunny,20012260,9447939.29,160614968,False,1,4,3,3,6,2018-02-23,"2018-03-16,2018-03-09,2018-02-16,2018-03-02","2018-03-23,2018-03-30,2018-04-06","2018-04-20,2018-04-13,2018-04-27","2018-06-08,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01"
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,Migos,15232093,9653753.15,193075063,False,0,8,1,4,7,,"2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-03-09,2018-02-16,2018-03-02,2018-02-02",2018-03-23,"2018-03-30,2018-04-20,2018-04-06,2018-04-13","2018-06-08,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-06-01,2018-04-27"
6yr8GiTHWvFfi4o6Q5ebdT,'Till I Collapse,Eminem,3965342,3594041.22,64692742,False,0,0,0,0,18,,,,,"2018-02-09,2017-08-18,2017-10-13,2018-01-26,2017-11-10,2018-02-23,2017-10-27,2017-11-17,2017-08-11,2017-09-01,2018-01-19,2018-02-16,2017-10-20,2018-02-02,2017-09-08,2017-09-29,2017-11-24,2017-10-06"
4xkOaSrkexMciUUogZKVTS,'Till I Collapse,Eminem,4582126,4582126.0,4582126,False,0,0,0,0,1,,,,,2018-08-31
